date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:13	2663/2663	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Apr%202021%2019:43:24%20GMT	https://w8.snokido.com/games/html5/friday-night-funkin/0281/	C:/FNF/FNF%20NG%20build/w8.snokido.com/games/html5/friday-night-funkin/0281/index.html	(from )
21:00:14	51/51	---MCZ	200	added ('OK')	text/plain	etag:W/%225e3c0357-1f%22	https://w8.snokido.com/robots.txt		(from )
21:00:14	18920/18920	---M--	200	added ('OK')	image/png	etag:%22607ddc37-49e8%22	https://w8.snokido.com/games/html5/friday-night-funkin/0281/favicon.png	C:/FNF/FNF%20NG%20build/w8.snokido.com/games/html5/friday-night-funkin/0281/favicon.png	(from https://w8.snokido.com/games/html5/friday-night-funkin/0281/)
21:00:14	2086656/2086656	---MCZ	200	added ('OK')	application/javascript	etag:W/%22607ddc37-1fd700%22	https://w8.snokido.com/games/html5/friday-night-funkin/0281/Funkin.js	C:/FNF/FNF%20NG%20build/w8.snokido.com/games/html5/friday-night-funkin/0281/Funkin.js	(from https://w8.snokido.com/games/html5/friday-night-funkin/0281/)
21:00:15	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Apr%202021%2019:00:14%20GMT	https://w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/pixel.eot?	C:/FNF/FNF%20NG%20build/w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/pixeld41d.eot	(from https://w8.snokido.com/games/html5/friday-night-funkin/0281/)
21:00:15	7156/7156	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22607ddc37-1bf4%22	https://w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/pixel.woff	C:/FNF/FNF%20NG%20build/w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/pixel.woff	(from https://w8.snokido.com/games/html5/friday-night-funkin/0281/)
21:00:15	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Apr%202021%2019:00:14%20GMT	https://w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/pixel.otf	C:/FNF/FNF%20NG%20build/w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/pixel.otf	(from https://w8.snokido.com/games/html5/friday-night-funkin/0281/)
21:00:16	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Apr%202021%2019:00:14%20GMT	https://w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/vcr.eot?	C:/FNF/FNF%20NG%20build/w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/vcrd41d.eot	(from https://w8.snokido.com/games/html5/friday-night-funkin/0281/)
21:00:16	25288/25288	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22607ddc37-62c8%22	https://w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/vcr.woff	C:/FNF/FNF%20NG%20build/w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/vcr.woff	(from https://w8.snokido.com/games/html5/friday-night-funkin/0281/)
21:00:16	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Apr%202021%2019:00:15%20GMT	https://w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/vcr.ttf	C:/FNF/FNF%20NG%20build/w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/vcr.ttf	(from https://w8.snokido.com/games/html5/friday-night-funkin/0281/)
21:00:16	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Apr%202021%2019:00:15%20GMT	https://w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/vcr.svg	C:/FNF/FNF%20NG%20build/w8.snokido.com/games/html5/friday-night-funkin/0281/assets/fonts/vcr.svg	(from https://w8.snokido.com/games/html5/friday-night-funkin/0281/)
